Generated_SELFIES	Generated_SMILES	Ground_Truth_SELFIES
[C][O][C][=C][Branch2][Ring1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][=Branch1][C][=O][=Branch1][C][=O][N][C][S][C][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][O][C]	COC=C(C1=CC=C2C=C1C=O)C2OC	[C][O][C][=Branch1][C][=O][N][C][=N][C][=C][Branch1][Ring2][N][Ring1][Branch1][C][=C][Branch1][Branch1][C][=C][Ring1][#Branch1][S][C][=C][C][=C][C][=C][Ring1][=Branch1]
[C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][=Branch1][C][=O][N][C@@H1][Branch2][Ring1][Branch1][C][O][P][=Branch1][C][=O][Branch1][C][O-1][O][C][N+1][Branch1][C][C][Branch1][C][C][C@@H1][Branch1][C][C][C][C][C][C][Branch1][C][C][C][C][O]	CCCCCCCCCCCCCCCCCCC(=O)N[C@@H1](COP(=O)([O-1])OC[N+1](C)(C)[C@@H1]C)CCCC(C)CCO	[C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][=Branch1][C][=O][N][C@@H1][Branch2][Ring1][Branch1][C][O][P][=Branch1][C][=O][Branch1][C][O-1][O][C][C][N+1][Branch1][C][C][Branch1][C][C][C][C@@H1][Branch1][P][/C][=C][/C][C][C][C][C][C][C][C][C][C][Branch1][C][C][C][O]
[C][C][=Branch1][C][=O][N][C@@H1][C@H1][Branch2][Ring2][Ring2][C@@H1][Branch1][O][C@H1][Branch1][=Branch1][O][C][Ring1][=Branch1][O][C][O][O][C@H1][C@@H1][Branch1][P][C@H1][Branch1][=N][C@@H1][Branch1][=Branch2][C@H1][Branch1][Ring2][O][Ring1][=Branch1][C][O][O][O][O][O]	CC(=O)N[C@@H1]1[C@H1]([C@@H1]([C@H1](OC1O)CO)O[C@H1]2[C@@H1]([C@H1]([C@@H1]([C@H1](O2)CO)O)O)O)O	[C][C][=Branch1][C][=O][N][C@@H1][C@H1][Branch1][#C][C@@H1][Branch1][O][C@H1][Branch1][=Branch1][O][C@H1][Ring1][=Branch1][O][C][O][O][O][C@H1][C@@H1][Branch2][Ring1][Ring2][C@H1][Branch1][S][C@@H1][Branch1][N][C@H1][Branch1][Ring2][O][Ring1][=Branch1][C][=Branch1][C][=O][O][O][O][O]
[C][C][C][C][NH1+1][=C][C][C][/C][=Branch2][Ring1][#Branch2][=C][/C][=C][/C][=Branch2][Ring1][=C][/C][=C][Branch1][=Branch1][O][Ring1][O][/C][=C][/C][=Branch1][/C][=C][/C@H1][Branch1][C][/C][O][/C][C]	CCCC[NH1+1]=C1CC/C=C/C=C/C/C=C(O1)/C(=C)/[C@H1](/C)O/CC	[C][/C][=C][/C][=C][/C][=C][/C@H1][Branch1][=Branch1][C][/C][=C][/C][NH3+1][O]
[C][Branch1][=Branch1][C][O][C][C][C][C][C][C][N][=Branch1][C][Branch1][C][C][O][N][C][C][C][N][S][=Branch1][C][=O][O][C][C][C][=Branch1][C][=O][N][N][Branch1][Branch1][C][C][=Branch1][C][=O][=Branch1][C][=O][O]	C(COCCC)CCCNCCONCCCNS(=O)OCCC(=O)NN(CC=O)C=O	[C][=C][C][=Branch1][O][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=N][N][O][C][C][C][C][C][O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=N][N].[C][Branch1][#Branch2][C][S][=Branch1][C][=O][=Branch1][C][=O][O][O].[C][Branch1][#Branch2][C][S][=Branch1][C][=O][=Branch1][C][=O][O][O]
[C][O][C][=C][Branch2][Ring1][=Branch1][C][=C][C][=C][Ring1][=Branch1][C][#N][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C]	COC1=CC=CC=C1C#N	[C][O][C][=C][C][=Branch1][S][=N][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=C][C][=C][C][=N][Ring1][=Branch1][C][#N]
[C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][=Branch1][C][=O][O][C][C@@H1][Branch1][P][C@H1][Branch1][O][C@H1][Branch1][=Branch2][C@@H1][Ring1][C][O][N][C][C][C][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1]	CCCCCCCCCCCCCCCC(=O)OC[C@@H1]([C@H1]([C@H1]=[C@@H1]ONCCC)CC)C1=CC=CC=C1	[C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][=Branch1][C][=O][N][C@H1][Branch1][#Branch2][C][N][C][C][O][C][C][Ring1][=Branch1][C@@H1][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][O]
[C][C][C][C][C][C][=C][/C][=Branch1][C][=O][O][C][C][C][C@@H1][Branch1][Ring2][C][Ring1][#Branch1][C][C][Ring1][Branch1][C][C][C][=Branch1][C][=O][C][C][C][C][C][C][=C][Ring1][=Branch1][Ring1][Branch1][O]	CCCCCC=C/C(=O)OCCC1[C@@H1](C)CC1CCC(=O)CC2C3CCC=C23	[C][C][C][C][C][C][=Branch1][C][=O][C@@H1][C@H1][C][C][=C][Branch1][N][C][O][C][=Branch1][Ring2][=C][Ring1][=Branch1][/C][=C][/C][C][=Branch1][C][=O][C@@][Ring1][=C][Branch1][=Branch1][O][C][Ring1][P][=O][C]
[C][C][=C][C][=Branch2][Ring2][N][=C][Branch1][Ring2][C][Ring1][=Branch1][=O][C][=C][Ring1][=Branch1][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O][Ring1][=Branch1][C][=C][C][=C][Branch1][C][=C][C][=C][Ring1][Branch2][O]	C1C=CC2=C(C1)OC3=C2C=C(C=C3)C(=O)O	[C][C][=C][C][=Branch1][C][=O][C][=C][Branch2][Ring2][C][C][=C][C][=Branch1][#Branch1][=C][Ring1][=Branch1][O][Ring1][O][C][=Branch1][C][=O][C][=C][Branch1][Branch1][C][Ring1][=Branch2][=O][C][=C][Branch1][=Branch1][C][=C][Ring1][Branch2][O][O][O]
[C][Branch2][Ring2][O][C@@H1][C@H1][Branch2][Ring2][#Branch1][C@@H1][Branch2][Ring1][S][C@H1][Branch2][Ring1][Ring1][C@@H1][Branch1][Ring2][O][Ring1][=Branch1][O][C@@H1][C@H1][Branch1][#C][C@H1][Branch1][#Branch2][O][C@@H1][Branch1][Branch1][C@H1][Ring1][=Branch1][O][O][O][C][O][O][O][O][O]	C[C@@H1]1[C@H1][C@@H1]([C@H1]([C@@H1](O1)O[C@@H1]2[C@H1][C@H1](O[C@@H1]([C@H1]2O)O)OC)OO)OOO	[C][Branch2][Ring2][O][C@@H1][C@H1][Branch2][Ring2][Branch1][C@@H1][Branch2][Ring1][S][C@H1][Branch2][Ring1][O][C@@H1][Branch1][Ring2][O][Ring1][=Branch1][O][C@@H1][C@H1][Branch1][#C][C@H1][Branch1][O][C@H1][Branch1][=Branch1][O][C][Ring1][=Branch1][O][C][O][O][O][O][O][O][O]
[C][C@H1][C@@H1][Branch2][O][#Branch2][C@H1][Branch2][=N][=Branch2][C@H1][Branch2][=C][#Branch1][C@@H1][Branch1][Ring2][O][Ring1][=Branch1][O][C@@H1][C@H1][Branch2][=Branch2][Branch1][C@@H1][Branch2][Branch2][=Branch1][C@@H1][Branch2][=Branch2][Ring1][O][C@H1][Ring1][=Branch1][O][C@@H1][C@@H1][Branch2][Branch2][Branch2][C][=N][O][C@H1][Branch1][Branch2][C@@H1][Branch1][Ring2][O][Ring1][=Branch1][C][O][O][O][C@@H1][C@H1][Branch2][#Branch1][C@H1][Branch1][S][C@@H1][Branch1][Branch2][C@@H1][C@H1][Branch1][Ring2][O][Ring1][=Branch1][C][O][O][O][O][C@H1][C@@H1][Branch1][Branch1][C@H1][Branch1][Ring2][O][C@@H1][C@@H1][Branch1][=Branch2][C][Branch1][C@@H1][Branch1][Ring2][O][Ring1][=Branch1][C][O][O][O][C@H1][C@@H1][Branch1][P][C@@H1][C@H1][Branch1][=N][P][C@H1][Branch1][=Branch2][C@H1][Branch1][Branch1][C@H1][Branch1][O][Ring1][=Branch1][C][O][O][O][O][O][O][O][Branch1][O][O][O][C@H1][C][O][=Branch2][C@H1][Ring1][C@H1][O][Branch1][O][C][Branch1][C@@H1][Branch1][Branch1][O][C@H1][Branch1][O][C@H1][Branch1][=Branch1][=Branch1][O][Ring1][O][O][O][O]	C1[C@H1]2[C@@H1][C@H1][C@H1][C@@H1](O2)O[C@@H1]3[C@H1]([C@@H1][C@@H1]O[C@H1]3O[C@@H1][C@@H1](C4=NO[C@H1]([C@@H1](O4)C)OOO[C@@H1][C@H1]5S[C@@H1]([C@@H1][C@H1]O5)COOOO[C@H1][C@@H1]([C@H1]O[C@@H1][C@@H1])C1COOO[C@H1][C@@H1]([C@@H1]6[C@H1]P[C@H1][C@H1][C@H1]6)OOO[C@H1]CO[C@H1]O)O)C[C@H1][C@H1](O)OO	[C][C@@H1][C@@H1][Branch2][#Branch1][S][C][C@H1][Branch2][#Branch1][#Branch2][C@H1][Branch1][Ring2][O][Ring1][=Branch1][O][C@H1][C@@H1][Branch2][=Branch1][=N][C@H1][Branch2][=Branch1][#Branch1][O][C@@H1][Branch2][Ring2][#C][C@H1][Ring1][=Branch1][O][C@@H1][C@@H1][Branch2][Ring2][Branch1][C@H1][Branch1][=N][C@H1][Branch1][=Branch2][C@H1][Branch1][Ring2][O][Ring1][=Branch1][C][O][O][O][C@H1][C@@H1][Branch1][S][C@@H1][Branch1][N][C@H1][Branch1][Branch2][C@@H1][Branch1][Ring2][O][Ring1][=Branch1][C][O][O][O][O][O][C@H1][C@@H1][Branch1][=C][O][C@H1][Branch1][=Branch2][C@@H1][Branch1][Branch1][C@@H1][Ring1][=Branch1][O][O][O][C][C][O][O][O][O]
[C][=C][C][=C][Branch1][#Branch2][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][O][C][=C][Ring1][O]	C1=CC2=C(C=C(C=C2)O)C=C1	[C][C][=C][C][=Branch1][#Branch2][=C][Branch1][=Branch1][C][=C][Ring1][=Branch1][C][O][C@@H1][C][C@H1][C][C][C@@][Ring1][=Branch1][Branch1][Branch2][C][Ring1][Branch1][Branch1][C][C][C][C]
[C][C@H1][C@H1][Branch2][#Branch1][#Branch1][C@H1][Branch2][=Branch1][=C][C@@H1][Branch2][=Branch1][=Branch2][C@@H1][Branch1][Ring2][O][Ring1][=Branch1][O][C@@H1][C@H1][Branch2][Branch1][Ring2][C@H1][Branch2][Ring2][=N][C@H1][Branch2][Ring2][=C][O][C@H1][Ring1][=Branch1][O][C@@H1][C@H1][Branch2][Ring1][Ring1][C@H1][Branch1][O][O][=Branch2][C@H1][Branch1][Ring2][O][Ring1][=Branch1][C][O][O][C][=Branch1][C][=O][C][=C][C][Branch1][=Branch2][C@H1][C@@H1][Branch1][Branch1][C@H1][Ring1][=Branch1][O][O][O][O][C][O][O][C][O][C][O][O][O]	C[C@H1]1[C@H1][C@H1][C@@H1]([C@@H1](O1)O[C@@H1]2[C@H1]([C@H1][C@H1]O[C@H1]2O[C@@H1]3[C@H1]([C@H1](O[C@H1](O3)CO)OC=O)C4=CC([C@H1][C@@H1][C@H1]4O)OOOC)OOCOCOO)O	[C][C@H1][C@H1][Branch2][#Branch1][=Branch2][C@H1][Branch2][#Branch1][Ring2][C@@H1][Branch2][=Branch1][#C][C@@H1][Branch1][Ring2][O][Ring1][=Branch1][O][C@@H1][C@H1][Branch2][Ring2][=N][C@H1][Branch2][Ring2][Branch2][C@H1][Branch2][Ring2][C][O][C@H1][Ring1][=Branch1][O][C@@H1][C@H1][Branch2][Ring1][=Branch1][O][C@H1][Branch1][=Branch2][C@@H1][Branch1][Branch1][C@H1][Ring1][=Branch1][O][O][O][C][C][C][C][C][C][C][=C][C][O][C][O][O][O][C@@H1][C@@H1][Branch1][P][C@H1][Branch1][=N][C@H1][Branch1][=Branch2][C@H1][Branch1][Ring2][O][Ring1][=Branch1][C][O][O][O][O][O][O][O]
[C][C][Branch2][Ring1][=Branch2][C][C][C][=C][Branch2][Ring1][=Branch1][C][=Branch1][C][=O][C][=N][Ring1][=Branch1][C][O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][Cl]	CCCCC1=CC(=O)C=N1	[C][C][Branch1][C][C][Branch1][C][C][C][Branch2][Ring1][#Branch1][C][Branch1][Branch2][N][C][=N][C][=N][Ring1][Branch1][O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][Cl][O]
[C][C@@H1][Branch2][Ring1][Ring2][C][=Branch1][C][=O][N][C@@H1][Branch1][C][N][C][C][C][C][N][C][=Branch1][C][=O][O][Branch1][Branch1][C][C][C][=Branch1][C][=O][O]	C[C@@H1](C(=O)N[C@@H1](N)CCCCNC(=O)O)CCC(=O)O	[C][Branch1][Ring2][C][C][N][C][C@@H1][Branch1][=Branch1][C][=Branch1][C][=O][O][N][C][=Branch1][C][=O][C][C][N]
[C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][N+1][C][C][=Branch1][C][=O][N][O][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C].[Cl-1]	C1=CC=C(C=C1)[N+1]CC(=O)NOC=CC=CC2=CC=CC=C2CC.[Cl-1]	[C][C][=Branch1][C][=O][N][C][=Branch1][C][=O][N][Ring1][#Branch1][N][=C][C][=C][C][=C][Branch1][Ring2][O][Ring1][Branch1][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][N+1][=Branch1][C][=O][O-1]
[C][C@H1][C@H1][Branch2][Branch1][#Branch1][C@H1][Branch2][Branch1][Branch2][C@@H1][Branch2][Branch1][Ring1][C@@H1][Branch1][Ring2][O][Ring1][=Branch1][O][C@@H1][C@H1][Branch2][Ring2][=N][C@H1][Branch2][Ring2][P][C@H1][Branch2][Ring1][=N][O][C@H1][Ring1][=Branch1][O][C][C@@H1][Branch1][O][C@@H1][Branch1][#C][C@H1][Branch1][#Branch2][C@@H1][Branch1][Branch1][O][Ring1][=Branch1][N][C][=Branch1][C][=O][O][C][O][C][O][O][O][O][O]	C[C@H1]1[C@H1][C@H1][C@@H1][C@@H1](O1)O[C@@H1]2[C@H1][C@H1][C@H1](O[C@H1]2OC3[C@@H1]([C@@H1][C@H1][C@@H1](O3)C=O)OC)OCOOOOO	[C][C@H1][C@H1][Branch2][=Branch1][=Branch1][C@H1][Branch2][Branch1][P][C@@H1][Branch2][Branch1][N][C@@H1][Branch1][Ring2][O][Ring1][=Branch1][O][C@@H1][C@H1][Branch2][Ring2][#Branch2][C@@H1][Branch1][O][O][C@@H1][Branch1][Branch1][C@H1][Ring1][=Branch1][O][C][O][O][C][C@@H1][C@@H1][Branch2][Ring1][Branch1][C@@H1][Branch1][P][C@H1][Branch1][Branch2][C][Branch1][Ring2][O][Ring1][=Branch1][O][N][C][=Branch1][C][=O][C][O][O][N][C][=Branch1][C][=O][C][O][O][O]
[C][C@H1][Branch1][=Branch2][C][C][C][=Branch1][C][=C][C][Branch1][C][C][C][C@H1][C][C][C@@H1][C@@][Ring1][Branch1][Branch2][Ring1][=Branch2][C][C][C@H1][C@H1][Ring1][=Branch1][C][C][C@@][Branch2][Ring1][=Branch1][C][C@][Branch1][=C][C@@H1][Ring1][=Branch1][C@@H1][Branch1][C][C][C][C][C][Branch1][C][C][C][C][O]	C[C@H1](CCC(=C)CC)C[C@H1]1CC[C@@H1]2[C@@]1CC[C@H1][C@H1]2C3C[C@@]C[C@]([C@@H1]3[C@@H1](C)CCCC)CCO	[C][C@H1][Branch1][=Branch2][C][C][C][=C][Branch1][C][C][C][C@H1][C][C][C@@][Branch2][Ring2][Ring2][C@@][Ring1][Branch1][Branch2][Ring1][=N][C][C][C][=C][Ring1][=Branch1][C][C][C@@H1][C@@][Ring1][=Branch1][Branch1][=C][C][C][C@@H1][Branch1][Branch2][C][Ring1][=Branch1][Branch1][C][C][C][O][C][C][C]
[C][O][C][=C][C][=Branch1][O][=C][C][=C][Branch1][=Branch1][C][=C][Ring1][=Branch1][O][O][O][C][C@H1][C@@H1][Branch1][P][C@H1][Branch1][=N][C@@H1][Branch1][=Branch2][C@H1][Branch1][Ring2][O][Ring1][=Branch1][C][O][O][O][O][O][O]	COC=CC(=CC=CC=CO)OOC[C@H1]1[C@@H1]([C@H1]([C@@H1]([C@H1](O1)CO)O)O)OOO	[C][O][C][=C][C][=Branch2][Ring1][P][=C][C][=Branch2][Ring1][#Branch2][=C][Ring1][=Branch1][O][C@H1][C@@H1][Branch1][P][C@H1][Branch1][=N][C@@H1][Branch1][=Branch2][C@H1][Branch1][Ring2][O][Ring1][=Branch1][C][O][O][O][O][O][C][/C][=C][/C][=O]
[C][Branch1][#Branch2][C][=Branch1][C][=O][C][=Branch1][C][=O][O][S][C][=O][=Branch1][C][=O][O]	C(C(=O)C(=O)O)SC=O	[C][Branch1][#Branch2][C][=Branch1][C][=O][C][=Branch1][C][=O][O][S][=Branch1][C][=O][=Branch1][C][=O][O]
[C][C][C][C][C][C][C][C][C][C][C][C][C][Branch1][#Branch1][C@H1][Branch1][Ring1][C][O][NH3+1]	CCCCCCCCCCCCC[C@H1](CO)[NH3+1]	[C][C][C][C][C][C][C][C][C][C][C][C@H1][Branch1][#Branch1][C@H1][Branch1][Ring1][C][O][NH3+1][O]
[C][C@H1][Branch2][Branch1][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][=Branch1][C][=O][O][C][C][O][C@@H1][P][C@H1][C@@H1][Branch1][=N][C@@H1][Branch1][=Branch2][C@H1][Branch1][Ring2][O][Ring1][=Branch1][C][O][O][O][O][O]	C[C@H1](CCCCCCCCCCCCCCCCCCCCCCCCCCC(=O)OCCO[C@@H1]P1[C@H1][C@@H1][C@@H1]([C@H1](O1)CO)O)OOO	[C][C@H1][Branch2][Branch1][Ring2][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][=Branch1][C][=O][C][C][O][C@@H1][C@@H1][Branch1][P][C@H1][Branch1][=N][C@@H1][Branch1][=Branch2][C@H1][Branch1][Ring2][O][Ring1][=Branch1][C][O][O][O][O][O]
[C][C][Branch2][Ring2][Ring1][C@@H1][Branch2][Ring1][=Branch2][N][C][=Branch1][C][=O][N][C][C][C][C@@H1][Branch1][#Branch1][C][C][=Branch1][C][=O][N][C][C][=Branch1][C][=O][O][N][C][=Branch1][C][=O][C@H1][C][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=O][O]	CC([C@@H1](NC(=O)NCCC[C@@H1](CC(=O)N)CC(=O)O)NC(=O)[C@H1])C=CC1=CC=CC=C1C=O	[C][C][Branch2][Branch1][Branch1][C@@H1][Branch2][Ring2][N][N][C@H1][Branch1][Ring2][S][Ring1][Branch1][C][Branch2][Ring1][Ring1][C][=Branch1][C][=O][N][C][C][C][C][C@H1][Branch1][=Branch1][C][=Branch1][C][=O][O][N][N][C][=Branch1][C][=O][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O][C].[C][Branch1][Ring2][C][C][N][C][C@H1][Branch1][=Branch1][C][=Branch1][C][=O][O][N]
[C][C@@][C][C][C][Branch1][C][C@H1][Branch2][Branch1][Branch1][C][C][=Branch2][Ring2][=Branch1][=C][Branch2][Ring2][Ring1][#Branch1][O][O][C][=Branch1][C][=O][C][=C][Branch1][Branch1][O][Ring1][=Branch1][O][C][=Branch1][C][=C][Branch1][S][C][=Branch1][Branch1][=O][C][=Branch1][C][=O][C][O][C][C][Ring2][Ring1][Branch2][=O][O][C][C][Branch1][C][C]	C[C@@]C1CC([C@H1])CC(=COOC(=O)C=C(O)C(=C)SC(=O)OCOCC1)OOCCC	[C][C@H1][C][=C][Branch1][S][C@H1][C@@H1][Branch1][Ring2][O][Ring1][=Branch1][C][C][=Branch1][C][=O][O][Ring1][#Branch1][C][=Branch1][C][=O][C][=C][Branch1][Branch1][C][Ring1][=C][=O][C][=C][Branch1][=Branch1][C][=C][Ring1][Branch2][O][C][=C][C][=C][Branch1][Branch2][C][=Branch1][Ring2][=C][Ring1][=Branch1][O][C][=Branch1][C][=O][C][=C][Branch1][Branch1][C][Ring1][#Branch2][=O][C@@][Branch1][=C][O][C@@H1][C@H1][Ring1][Branch2][O][C][=Branch1][C][=O][C][Ring1][=Branch1][Branch1][C][C][O]
[C][C][=Branch2][Ring2][=Branch1][=C][C][C][=C][Branch2][Ring1][#C][C][=C][C][=Branch1][Branch1][=C][Ring1][=Branch1][O][C][=C][C][=C][C][=Branch1][O][=C][C][=Branch1][Branch2][=C][Ring1][=Branch1][C][Ring1][Branch2][=O][C][O][C]	CC=CCC1=CC=CC(=C1O)C=C2C3=CC(=CC=C3C2=O)COC	[C][C][=Branch2][Ring2][Branch1][=C][C][C][=C][Branch2][Ring1][=N][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=C][O][C][=C][Branch1][Branch1][C][Ring1][=Branch1][=O][C][=C][C][=Branch1][Ring2][=C][Ring1][Branch2][O][O][C]
[C][Branch1][#C][C][C@H1][C@@H1][Branch1][O][C@@H1][Branch1][O][C][=Branch1][C][=O][O][O][O][O][O][P][=Branch1][C][=O][Branch1]	C(C[C@H1][C@@H1][C@@H1]C(=O)OOOOOP)=O	[C][Branch1][#C][C@H1][Branch1][O][C@@H1][Branch1][#Branch1][C@H1][Branch1][Ring1][C][=O][O][O][O][O][P][=Branch1][C][=O][Branch1][C][O][O]
[C][C][N][Branch1][Ring1][C][C][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1][O][C][C][C][C][C][=C][Branch1][N][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][O][C][Cl][C][C]	CCN(CC)CCC1=CC=CC=C1OCCCCC2=C(C=C(C=C2)OCCl)CC	[C][C][N][Branch1][Ring1][C][C][C][C][C][C][Branch1][C][C][N][C][=C][C][=C][Branch2][Ring1][Ring2][C][=C][C][Ring1][=Branch1][=N][C][=C][Ring1][#Branch2][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][Cl][O][C]
[C][C@@H1][C@H1][Branch2][Ring1][=Branch2][C@H1][Branch2][Ring1][=C][C@@H1][Branch1][Ring2][O][Ring1][Branch1][N][C][=C][C][=N][C][=C][Branch1][=Branch1][C][=N][N][=C][Ring1][=Branch2][N][O][O][=N+1][Branch1][Branch1][Ring2][Branch2][Ring2][Ring2][Ring1][Branch1][O][O]	C12[C@@H1]3[C@H1]2[C@H1][C@@H1](O3)NC=C4C=NC=C(C=NN=C4)NOO[N+1]1	[C][C@@H1][C@H1][Branch2][Ring1][#C][C@H1][Branch2][Ring1][#Branch2][C@@H1][Branch1][Ring2][O][Ring1][Branch1][N][C][=Branch1][#C][=C][C][=C][Branch1][=Branch2][N][=C][N][=C][Ring1][=Branch1][Ring1][=Branch2][N][Br][O][O][P][=Branch1][C][=S][Branch1][Branch1][O][Ring2][Ring1][=Branch1][O]
[C][=C][C][=C][Branch1][=Branch1][C][=C][Ring1][=Branch1][O][Branch1][Branch1][C][Ring1][Branch2][O][O]	C12=CC=C(C=C1O)C2OO	[C][=C][C][=Branch1][#Branch1][=C][C][=C][Ring1][=Branch1][O][O]
[C][C][NH1+1][C][C][Branch1][C][C][N][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][Ring1][=Branch1][=O]	CC[NH1+1]CC(C)NC1=C2C=C(C=C1)C2=O	[C][C][NH1+1][Branch1][Ring1][C][C][C][C][=C][Branch2][Ring1][O][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][N][C][=C][C][=C][C][=Branch1][#Branch2][=C][C][Ring1][=Branch1][=N][C][=C][Ring1][#Branch2][Cl][O]
[C][=C][Branch1][=Branch1][C][=Branch1][C][=O][C][=C][Branch1][#Branch1][C][O][C][=Branch1][C][=O][O]	C=C(C(=O)C)C(COC=O)O	[C][C@H1][Branch2][Ring1][C][C@@H1][Branch1][=C][C][=Branch1][C][=O][C][=C][Ring1][#Branch1][C][=Branch1][C][=O][O][O][O]
[C][N][Branch1][C][C][C][C][C][=C][Ring1][=Branch1][S][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][#C].[Cl-1]	CN(C)CCC1=CSC2=CC=C(C=C2)C=CC=CC=C1.[Cl-1]	[C][N][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][N][=C][C][=C][C][=Branch1][=Branch1][=N+1][Branch1][C][C][C][C][=C][Ring1][=Branch2][S][Ring1][#C].[Cl-1]
[C][C][=Branch1][C][=O][N][C@@H1][C@H1][Branch2][Ring2][C][Branch1][Branch1][C][C][Ring1][=Branch1][C@][Branch1][C][Ring1][Branch1][N][C][Ring1][N][C][=C][C][=C][C][=C][Ring1][=Branch1][C][O][C][=Branch1][C][=O][O]	C1C(=O)N[C@@H1]2[C@H1]CC[C@]2NC1C3=CC=CC=C3COC(=O)O	[C][C][C@][C][C][C][N][C@H1][Ring1][=Branch1][C@@][Branch1][Branch1][C][C][Ring1][Branch1][C@@H1][Branch1][Branch1][C][C][Ring1][N][N][Branch1][=N][C][=C][Ring1][=Branch2][C][=C][C][=C][Ring1][=Branch1][O][C][C][=Branch1][C][=O][C]
[C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][N][=N][N]	C1=CC=CC(=C1)N=NN	[C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][N][C][=Branch1][Ring2][=N][Ring1][=Branch1][N]
[C][C][O][P][=Branch1][C][=S][Branch1][=Branch1][C][=Branch1][Ring2][O][C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][Cl]	CCOP(=S)(COCO)C1=CC=CC=C1Cl	[C][C][O][P][=Branch1][C][=S][Branch1][Ring2][O][C][C][O][C][=N][C][=Branch1][#Branch2][=C][Branch1][=Branch1][C][=C][Ring1][=Branch1][Cl][Cl][Cl]
[C][C@][C][C][C@@H1][Branch2][Ring2][O][C][C@@H1][Ring1][=Branch1][C][C][C@@H1][C@@H1][Ring1][#Branch2][Branch2][Ring1][S][Branch2][Ring1][Ring2][C@H1][Ring1][=Branch1][C][C@@H1][Branch1][Branch1][C][C][Ring1][Branch1][C][C][C][C][=C][C][=O][C][=C][Ring1][=Branch1][O][O]	C1[C@]23CC[C@@H1]C[C@@H1]2CC[C@@H1][C@@H1]31	[C][C@][C][C][C@H1][C][Branch2][Ring1][#Branch1][C@][Ring1][=Branch1][Branch1][P][C][C][C@@H1][Ring1][=Branch2][C][=C][O][C][=Branch1][C][=O][C][=C][Ring1][#Branch1][O][C][C][C@][Branch2][Ring1][C][C@@][Ring2][Ring1][C][Branch1][#Branch2][C][C][C@@H1][Branch1][Ring2][C][Ring1][=Branch1][O][C][=O][O]
[C][C@@H1][Branch2][Ring2][=Branch1][C@H1][Branch2][Ring1][Branch1][O][C][Ring1][C][=C][C][=C][C][=C][C][=Branch1][Branch2][=C][Ring1][=Branch1][O][O][C@H1][Ring1][#Branch2][O][C][=Branch1][=Branch2][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][O][O][O]	C[C@@H1]([C@H1](OC=C1C2=CC=CC=C2OO[C@H1]13)OC(=C(C=C3)O)O)O	[C][C@@H1][Branch2][Ring2][Ring1][C@H1][Branch1][#C][O][C][=C][Ring1][=Branch1][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][O][C][=C][C][=Branch1][N][=C][Branch1][Branch2][C][=Branch1][Ring2][=C][Ring1][=Branch1][O][O][O][O]
